accel x,accel y,accel z,freefall,colision,Motion,Time_of_use,date,Time
9.80665,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:39.660877
9.80665,-0.9022117999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:38.552467
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:37.486829
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:22.042396,2021-11-16,21:01:36.413580
holder
9.80665,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:35.312795
9.7674234,-0.7453053999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:01:34.193084
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:33.100157
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:31.970665
9.7674234,-0.8629851999999999,0.0784532,False,False,False,0:00:00,2021-11-16,21:01:30.874351
9.7281968,-0.8629851999999999,0.0784532,False,False,False,0:00:00,2021-11-16,21:01:29.799620
9.7281968,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:28.729945
9.80665,-0.8237586,0.196133,False,False,False,0:00:00,2021-11-16,21:01:27.618524
9.7281968,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:26.473430
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:25.379793
9.7674234,-0.8629851999999999,0.0784532,False,False,False,0:00:00,2021-11-16,21:01:24.289725
holder
9.80665,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:23.192249
9.80665,-0.9022117999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:01:22.124728
9.7281968,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:20.952211
9.7281968,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:01:19.840221
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:18.753957
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:17.662478
9.7674234,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:16.547583
9.6889702,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:15.444972
9.80665,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:14.371129
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:22.157162,2021-11-16,21:01:13.292149
holder
9.649743599999999,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:12.187488
9.7674234,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:11.053290
9.80665,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:01:09.945834
9.80665,-0.9022117999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:01:08.829444
9.80665,-0.9022117999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:07.712854
9.7674234,-0.8629851999999999,0.0784532,False,False,False,0:00:00,2021-11-16,21:01:06.607544
9.80665,-0.8237586,0.196133,False,False,False,0:00:00,2021-11-16,21:01:05.534642
9.80665,-0.9022117999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:04.405084
9.80665,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:03.283128
9.80665,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:02.200320
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:01.072262
holder
9.80665,-0.9022117999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:00:59.972545
9.80665,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:58.872958
9.80665,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:57.780615
9.80665,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:56.663326
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:55.542217
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:54.472211
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:53.308225
9.80665,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:00:52.213548
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:51.139677
9.80665,-0.8237586,0.196133,False,False,False,0:00:10.957885,2021-11-16,21:00:49.926432
holder
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:48.830316
9.80665,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:47.742211
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:46.679989
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:45.546601
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:44.426884
9.7281968,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:43.352299
9.7281968,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:42.281968
9.80665,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:41.155160
9.7281968,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:40.041427
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:38.942308
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:10.949423,2021-11-16,21:00:37.860210
holder
9.80665,-0.7453053999999999,0.2353596,False,False,False,0:00:00,2021-11-16,21:00:36.742840
9.7674234,-0.9022117999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:35.591233
9.7281968,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,21:00:34.524322
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:00:33.433116
9.7674234,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:00:32.359662
